itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
名称,尺码,购入价,成色,配件,备注,状态,售出价格（日元）,售出价格（人民币）,利润,利润率,购入时间,售出日,上架日期,出售时长,购入平台,售出平台,,,,,,2024/4/21,18576,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
梅西,40,6000,全新,其他,闲鱼买 煤炉出,售出,172800,#VALUE!,#VALUE!,45.21%,2月27日,2024/1/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
梅西,41,7100,未使用近全新,其他,闲鱼买 煤炉出,售出,180000,#VALUE!,#VALUE!,27.89%,2月27日,2024/1/23,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb buck,42.5,1500,9新,配件鞋盒丢失,闲鱼买 煤炉出,售出,36950,#VALUE!,#VALUE!,18.96%,5月7日,2023/7/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,42,2540,9新,配件齐全,闲鱼,售出,101200,#VALUE!,#VALUE!,99.26%,5月23日,2023/6/19,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 万圣节,44.5,2480,9新,配件丢失,闲鱼,售出,63950,#VALUE!,#VALUE!,27.48%,5月23日,2023/11/15,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 sb 北卡蓝,41,2160,未使用近全新,配件齐全,鞋盒标褪色,售出,38060,#VALUE!,2712.80 ,125.59%,5月28日,,,,闲鱼,,,,,,,,29760,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj4 ts ,44,1600,95新,配件齐全,,售出,52440,#VALUE!,1980.00 ,60.90%,5月28日,2023/7/7,,,闲鱼,MERUCARI,,,,,,,50350,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 慈善,43,2120,全新,配件鞋盒丢失,,售出,53000,#VALUE!,284.45 ,22.78%,5月29日,2023/10/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 扣碎 1.0,42.5,2200,9新,配件齐全,,售出,75650,#VALUE!,2521.20 ,70.83%,6月1日,2023/8/11,,,闲鱼,MERUCARI,,,,,,2024/6/19,40920,,JYP,0.05,,,,,,,,110,,,,
dunk sb ftc,44,2320,99新,配件鞋盒丢失,闲鱼买 煤炉出,售出,53150,#VALUE!,681.45 ,12.53%,6月1日,2023/11/26,,,闲鱼,MERUCARI,,,,,,2024/4/24,61149,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 turbo green,44,510,8新,配件丢失,,未售出,,#VALUE!,-318.94 ,0.00%,6月8日,,,,闲鱼,,,,,,,,50350,,JYP,0.05,,,,,,,,110,,,,
aj1 黑红脚趾,41,1000,99新,配件齐全,,售出,40480,#VALUE!,974.44 ,96.45%,6月8日,2023/6/23,,,闲鱼,MERUCARI,,,,,,2024/5/24,32680,,JYP,0.05,,,,,,,,110,,,,
dunk sb mia,44.5,1320,8新,配件齐全,,售出,40120,#VALUE!,483.00 ,47.43%,6月8日,,,,闲鱼,MERUCARI,,,,,,,34410,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
af1 白丝绸,43,1880,9新,鞋盒丢失,,未上架,,#VALUE!,1558.15 ,0.00%,6月15日,,,,闲鱼,MERUCARI,,,,,,2024/3/27,52080,MERUCARI,JYP,0.05,,,,,,,,110,,,,
dunk sb 布鲁克林,44,2120,99新,配件齐全,,未售出,,#VALUE!,290.65 ,0.00%,6月15日,,,,闲鱼,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,44.5,5500,全新,配件齐全,,售出,143350,#VALUE!,0.00 ,31.11%,6月16日,2023/12/13,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,44,5000,全新,配件齐全,,售出,160000,#VALUE!,964.48 ,61.20%,6月18日,2024/10/16,,,闲鱼,MERUCARI,,,,,,2024/2/21,32250,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 turbo green,42.5,1100,95新,配件齐全,,售出,28830,#VALUE!,626.12 ,24.58%,6月19日,,,,95分,SNKRDUNK,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb sod,42.5,1000,未使用近全新,配件鞋盒丢失,,售出,51350,#VALUE!,0.00 ,151.89%,6月21日,2023/8/10,,,,MERUCARI,,,,,,2024/10/19,26040,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
